confidence,result,user,date,url
0.41197,unclear,auto,2020-10-26 10:51:28.403605+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16570798-fe0b13de/
0.41197,unclear,auto,2020-10-26 10:51:29.716918+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16570798-fe0b13de/
0.41197,unclear,auto,2020-10-26 10:50:41.975482+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16570798-fe0b13de/
0.41197,unclear,auto,2020-10-26 10:50:47.630318+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16570798-fe0b13de/
0.54884,no_vat,auto,2020-10-26 10:51:23.889171+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16573398-86d13c53/
0.54884,no_vat,auto,2020-10-26 10:50:35.759239+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16573398-86d13c53/
0.54884,no_vat,auto,2020-10-26 10:51:31.567444+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16573398-86d13c53/
0.54884,no_vat,auto,2020-10-26 10:51:04.463769+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16573398-86d13c53/
0.44713,unclear,auto,2020-10-26 10:51:17.185176+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16579338-934c5859/
0.44713,unclear,auto,2020-10-26 10:50:30.535382+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16579338-934c5859/
0.44713,unclear,auto,2020-10-26 10:51:46.095823+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16579338-934c5859/
0.44713,unclear,auto,2020-10-26 10:51:05.783188+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16579338-934c5859/
0.39754,unclear,auto,2020-10-26 10:50:43.055836+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16579594-d7ad2eaf/
0.39754,unclear,auto,2020-10-26 10:50:47.848360+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16579594-d7ad2eaf/
0.39754,unclear,auto,2020-10-26 10:51:27.035147+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16579594-d7ad2eaf/
0.39754,unclear,auto,2020-10-26 10:51:43.461235+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16579594-d7ad2eaf/
