price,vat_included,year,mileage,location,url,make,name,supplier,gear,hp,formula,cab
2850000,,2014,587848,Домодедово,https://auto.ru/artic/used/sale/man/tgs/16521030-e942bb0e/,MAN,MAN TGS,"ООО""Трейд Моторс",механическая,400,4x2,2-х местная с 2 спальными
1850000,,2012,1019108,Домодедово,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16573818-4c89a279/,IVECO,IVECO Stralis,"ООО""Трейд Моторс",механическая,450,4x2,2-х местная с 2 спальными
1950000,,2013,1000575,Домодедово,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16492758-ea1da841/,IVECO,IVECO Stralis,"ООО""Трейд Моторс",механическая,420,4x2,2-х местная с 1 спальным
3000000,Цена с НДС,2013,837700,Люберцы,https://auto.ru/artic/used/sale/volvo/fh_tractor/16616302-bdc07000/,VOLVO,Volvo FH,PRO АВТО,механическая,400,4x2,2-х местная с 2 спальными
1659777,,2011,923000,Москва,https://auto.ru/artic/used/sale/man/tgs/16617680-da66254d/,MAN,MAN TGS,ТТ777,автоматическая,400,4x2,2-х местная с 1 спальным
1477777,,2012,890090,Москва,https://auto.ru/artic/used/sale/mercedes/axor_t/16483706-e4f09353/,MERCEDES,Mercedes-Benz Axor,ТТ777,механическая,360,4x2,2-х местная с 1 спальным
2470000,Цена с НДС,2012,1442528,Санкт-Петербург,https://auto.ru/artic/used/sale/scania/g/16638626-42a9983c/,SCANIA,Scania G-series,Global Truck Sales Санкт-Петербург,механическая,400,4x2,2-х местная с 2 спальными
1900000,,2011,1028621,Москва,https://auto.ru/artic/used/sale/man/tgx/16361136-1767bcc0/,MAN,MAN TGX,GROSS AUTO,механическая,400,4x2,2-х местная с 2 спальными
2210000,Цена с НДС,2011,1121541,Москва,https://auto.ru/artic/used/sale/mercedes/actros_t/16590418-f833cf08/,MERCEDES,Mercedes-Benz Actros,GROSS AUTO,автоматическая,410,4x2,2-х местная с 2 спальными
2199000,Цена с НДС,2013,783063,Москва,https://auto.ru/artic/used/sale/mercedes/axor_t/16563150-b9c34335/,MERCEDES,Mercedes-Benz Axor,GROSS AUTO,механическая,400,4x2,2-х местная с 1 спальным
1730000,Цена с НДС,2012,1398090,Москва,https://auto.ru/artic/used/sale/volvo/fm_tractor/16595594-685a3806/,VOLVO,Volvo FM,GROSS AUTO,механическая,400,4x2,2-х местная с 2 спальными
2210000,Цена с НДС,2013,812960,Москва,https://auto.ru/artic/used/sale/mercedes/axor_t/16603718-5947392b/,MERCEDES,Mercedes-Benz Axor,GROSS AUTO,механическая,400,4x2,2-х местная с 2 спальными
1599000,,2012,758212,Москва,https://auto.ru/artic/used/sale/mercedes/axor_t/16028748-7b17accc/,MERCEDES,Mercedes-Benz Axor,GROSS AUTO,механическая,400,4x2,2-х местная с 1 спальным
